stock,date,text,source,sentiment_score,sentiment_label,confidence
GOOGL,2022-01-11 21:46:03.685206,Alphabet and discouraging data on the US job market drag Wall Street lower - The Press Democrat,google_news,-0.7184,negative,0.7184
INFY.NS,2022-01-14 21:53:27.315327,Infosys Extends 5‑Day Slide as Global Tech Sell-Off Deepens - HDFC Sky,google_news,0.128,positive,0.128
TSLA,2022-01-17 21:47:07.380239,Stocks in Translation,yahoo_finance,0.0,neutral,0.0
GOOGL,2022-01-20 21:46:03.686168,Google goes from laggard to leader as it pulls ahead of OpenAI with stellar AI growth By Reuters - Investing.com,google_news,0.3818,positive,0.3818
MSFT,2022-01-20 21:50:56.691355,Microsoft Earnings: Good Quarter With AI Demand Ramping and Azure Good; Guidance In Line,yahoo_finance,0.6486,positive,0.6486
AMZN,2022-02-06 21:49:06.687967,"Oppenheimer Raises Amazon.com, Inc. (AMZN) Target as AWS Momentum and Margin Expansion Accelerate",yahoo_finance,0.0,neutral,0.0
TSLA,2022-02-13 21:47:07.386513,Should You Buy Tesla Stock After the SpaceX-xAI Merger? - Yahoo Finance,google_news,0.0,neutral,0.0
AMZN,2022-02-14 21:49:06.685001,"Stock market today: Dow, S&P 500, Nasdaq sink as sell-off builds while silver, bitcoin plunge",yahoo_finance,0.0,neutral,0.0
MSFT,2022-02-14 21:50:56.691064,MSFT Microsoft Corporation,yahoo_finance,0.0,neutral,0.0
TSLA,2022-02-18 21:47:07.382008,"Backed by OpenAI, Tesla, and SpaceX Investors, Midas Is Building Mathematical Infrastructure to Secure AI Systems",yahoo_finance,0.3612,positive,0.3612
MSFT,2022-02-22 21:50:56.690943,Microsoft: The 'question' the company needs to answer,yahoo_finance,0.0,neutral,0.0
AAPL,2022-02-25 21:45:39.075518,Apple Inc. $AAPL Shares Sold by St. Johns Investment Management Company LLC - MarketBeat,google_news,0.296,positive,0.296
AAPL,2022-03-01 21:45:39.069707,Alphabet stock sinks after Google parent announces $180 billion spending plan for 2026 in massive AI bet,yahoo_finance,0.0,neutral,0.0
GOOGL,2022-03-08 21:46:03.679028,Most active penny stocks,yahoo_finance,0.4576,positive,0.4576
GOOGL,2022-03-17 21:46:03.682203,Why Piper Sandler Says Google’s Project Genie Isn’t a Threat to AppLovin (APP),yahoo_finance,-0.5267,negative,0.5267
GOOGL,2022-03-22 21:46:03.687273,"Alphabet says capital spending in 2026 could double, cloud business booms By Reuters - Investing.com",google_news,0.0,neutral,0.0
AAPL,2022-03-27 21:45:39.072714,Apple Stock Investors Just Got Fantastic News From Tim Cook - Yahoo Finance,google_news,0.5574,positive,0.5574
AAPL,2022-04-07 21:45:39.074327,Forget AI Start-Ups: This Trillion‑Dollar Tech Titan Is Emerging as a Dark Horse in the AI Race - The Motley Fool,google_news,-0.5859,negative,0.5859
TSLA,2022-04-14 21:47:07.387205,Is Tesla Stock a Buy? Here's the Good News and the Bad News. - Nasdaq,google_news,-0.1531,negative,0.1531
AAPL,2022-04-17 21:45:39.076538,Apple Inc. $AAPL is Janney Montgomery Scott LLC's Largest Position - MarketBeat,google_news,0.0,neutral,0.0
MSFT,2022-04-18 21:50:56.688736,Most active penny stocks,yahoo_finance,0.4576,positive,0.4576
MSFT,2022-04-18 21:50:56.693857,Microsoft stock plunges as Wall Street questions AI investments - Al Jazeera,google_news,0.0,neutral,0.0
INFY.NS,2022-04-26 21:53:27.319738,"IT Stocks Plunge: LTIMindtree, Infosys Down 7% - Rediff MoneyWiz",google_news,0.0,neutral,0.0
INFY.NS,2022-04-29 21:53:27.317851,Infosys’s stock suddenly surges 50% — then cools off. Inside Wall Street’s big Friday mystery. - MarketWatch,google_news,0.0,neutral,0.0
TSLA,2022-05-05 21:47:07.380355,Prediction markets   NEW,yahoo_finance,0.0,neutral,0.0
GOOGL,2022-05-10 21:46:03.679222,Market Domination Overtime,yahoo_finance,-0.0516,negative,0.0516
GOOGL,2022-05-15 21:46:03.681587,"Alphabet (GOOGL) Execution Across AI, Ads, and Cloud Lifts Bernstein Outlook",yahoo_finance,0.0,neutral,0.0
MSFT,2022-05-21 21:50:56.694788,"Markets Brief: Microsoft Stock Under Pressure, Pharma Earnings and Jobs Report on Deck - Morningstar Canada",google_news,-0.296,negative,0.296
GOOGL,2022-05-24 21:46:03.684104,GOOGL Alphabet Inc. 333.04 -6.67 (-1.96%),yahoo_finance,0.0,neutral,0.0
TSLA,2022-05-31 21:47:07.384667,Research Reports: TSLA,yahoo_finance,0.0,neutral,0.0
AAPL,2022-06-22 21:45:39.074978,Apple Becomes Apple Again - AOL.com,google_news,0.0,neutral,0.0
CSEALL,2022-06-26 21:54:32.034144,"Sri Lankan shares rise as consumer discretionary, financials stocks gain - Business Recorder",google_news,0.6808,positive,0.6808
CSEALL,2022-07-06 21:54:32.035098,Market panic deepens as Sri Lankan stocks tumble to worst week since 2022 - Tamil Guardian,google_news,-0.8126,negative,0.8126
MSFT,2022-07-09 21:50:56.689411,"Memory company stocks are seeing 1,000% gains from the AI boom",yahoo_finance,0.34,positive,0.34
CSEALL,2022-07-10 21:54:32.031949,Most active penny stocks,yahoo_finance,0.4576,positive,0.4576
MSFT,2022-07-13 21:50:56.694503,"Dow drops 215 points on losses for shares of Amazon.com Inc., Microsoft - MSN",google_news,-0.128,negative,0.128
TSLA,2022-07-22 21:47:07.387887,"Tesla, Inc. $TSLA Shares Purchased by HighPoint Advisor Group LLC - MarketBeat",google_news,0.296,positive,0.296
AMZN,2022-07-29 21:49:06.687735,Amazon Vows to 'Vigorously Challenge' German Regulator's 'Profit Disgorgement' Demand,yahoo_finance,0.5994,positive,0.5994
CSEALL,2022-08-08 21:54:32.036667,"Sri Lankan shares end lower, snap four-week winning streak - Business Recorder",google_news,0.5267,positive,0.5267
AMZN,2022-08-10 21:49:06.684461,Prediction markets   NEW,yahoo_finance,0.0,neutral,0.0
TSLA,2022-08-12 21:47:07.381019,TSLA: Risk or rebound?,yahoo_finance,-0.2732,negative,0.2732
GOOGL,2022-08-14 21:46:03.679532,"Stock market today: Dow, S&P 500, Nasdaq futures mixed after Wall Street's tech sell-off deepens",yahoo_finance,0.0,neutral,0.0
CSEALL,2022-08-20 21:54:32.032918,Market Domination Overtime,yahoo_finance,-0.0516,negative,0.0516
GOOGL,2022-08-21 21:46:03.683366,Google operates 'from a position of strength': Earnings takeaways,yahoo_finance,0.4939,positive,0.4939
GOOGL,2022-09-06 21:46:03.686879,"Stock market today: S&P 500, Nasdaq edge up after tech sell-off with Google's AI push in focus - Yahoo Finance",google_news,0.0,neutral,0.0
GOOGL,2022-09-14 21:46:03.679848,What Google's CEO thinks of the future for software companies,yahoo_finance,0.0,neutral,0.0
CSEALL,2022-09-14 21:54:32.034313,Sri Lanka’s Market Slides After Cyclone Disrupts The Nation - Finimize,google_news,0.0,neutral,0.0
TSLA,2022-09-18 21:47:07.384498,This Stock Could Be the First Big Winner of the Robotaxi Race,yahoo_finance,0.5859,positive,0.5859
TSLA,2022-09-30 21:47:07.383824,Tesla Makes China Comeback,yahoo_finance,0.0,neutral,0.0
AAPL,2022-10-05 21:45:39.075844,Is Apple Still a Good Growth Stock to Own in 2026? - The Motley Fool,google_news,0.3818,positive,0.3818
AMZN,2022-10-06 21:49:06.688556,"Amazon earnings, Fed commentary, mortgage rates: What to Watch",yahoo_finance,0.1779,positive,0.1779
CSEALL,2022-10-06 21:54:32.035629,"Sri Lankan market hits record high, stocks soar as officials woo UAE investors - Gulf News",google_news,0.4767,positive,0.4767
AAPL,2022-10-07 21:45:39.074930,Apple stock price hovers near $276 as AI spending jitters hit tech; key dates ahead for AAPL - TechStock²,google_news,0.0,neutral,0.0
GOOGL,2022-10-23 21:46:03.688185,"Stock market today: Dow jumps, S&P 500, Nasdaq fall with AI worries in focus ahead of Google earnings - Yahoo Finance UK",google_news,-0.4215,negative,0.4215
AAPL,2022-10-24 21:45:39.070124,"The Newest Member of the $1 Trillion Club Has Soared 4,755,356% Since Its IPO, and It's Still a Buy Right Now, According to Wall Street (Hint: Not a Tech Stock)",yahoo_finance,0.0,neutral,0.0
GOOGL,2022-11-16 21:46:03.682553,Related Videos: GOOGL,yahoo_finance,0.0,neutral,0.0
TSLA,2022-11-18 21:47:07.386666,Tesla’s stock falls as bleak new sales figures signal more pain for beleaguered EV business - MarketWatch,google_news,-0.5563,negative,0.5563
GOOGL,2022-11-20 21:46:03.687622,"Wall Street falls on third day of losses as big tech continues to decline, traders digest more jobs data - Seeking Alpha",google_news,-0.4019,negative,0.4019
AMZN,2022-11-28 21:49:06.686496,"Amazon to report Q4 earnings with capex, AI growth in focus",yahoo_finance,0.5106,positive,0.5106
AAPL,2022-12-02 21:45:39.070625,"Investment Manager Sheds $5.2 Million Worth of JD Shares, According to Latest Filing",yahoo_finance,0.4767,positive,0.4767
MSFT,2022-12-02 21:50:56.693597,"Microsoft Shares Plunge 10%, Wiping Out Nearly $360 Billion in Market Value - Investopedia",google_news,0.5574,positive,0.5574
TSLA,2022-12-14 21:47:07.386447,Tesla Begins 2026 With Solid China EV Sales As Musk Appears To Shift Focus - Investor's Business Daily,google_news,0.1531,positive,0.1531
TSLA,2022-12-21 21:47:07.388525,"Tesla, Inc. $TSLA Position Boosted by SBI Securities Co. Ltd. - MarketBeat",google_news,0.5719,positive,0.5719
AAPL,2022-12-31 21:45:39.071122,"Apple stock gains amid tech sell-off, Yum! Brands' mixed Q4 results",yahoo_finance,0.4003,positive,0.4003
INFY.NS,2023-01-06 21:53:27.319308,Infosys Faces Steepest Decline in Over Two Years Amid AI Tool Uncertainty - The Bridge Chronicle,google_news,-0.34,negative,0.34
MSFT,2023-01-08 21:50:56.688496,Stocks in Translation,yahoo_finance,0.0,neutral,0.0
TSLA,2023-01-10 21:47:07.388071,"Tesla, Inc. $TSLA Shares Sold by BI Asset Management Fondsmaeglerselskab A S - MarketBeat",google_news,0.5719,positive,0.5719
INFY.NS,2023-01-14 21:53:27.318202,"India secures 18% tariff deal with US: Infosys, Wipro stocks surge in US market - Times of India",google_news,0.3182,positive,0.3182
CSEALL,2023-01-20 21:54:32.035496,Sri Lanka stock market closes cancelling all trades after error trade - EconomyNext,google_news,-0.5423,negative,0.5423
AAPL,2023-01-26 21:45:39.069897,Is Applied Optoelectronics (AAOI) Outperforming Other Computer and Technology Stocks This Year?,yahoo_finance,0.0,neutral,0.0
TSLA,2023-01-27 21:47:07.384597,Analyst Insights: TSLA,yahoo_finance,0.0,neutral,0.0
AMZN,2023-02-04 21:49:06.686319,"Amazon to report Q4 earnings with capex, AI growth in focus",yahoo_finance,0.5106,positive,0.5106
TSLA,2023-02-10 21:47:07.384908,The major U.S. stock indices are lower at midday on Friday. Earnings news,yahoo_finance,-0.296,negative,0.296
CSEALL,2023-02-22 21:54:32.036496,Sri Lanka’s Stock Market Rebounds As Investors Watch Interest Rates - Finimize,google_news,0.4588,positive,0.4588
CSEALL,2023-02-23 21:54:32.033209,Prediction markets are now on Yahoo Finance   Go to hub,yahoo_finance,0.0,neutral,0.0
INFY.NS,2023-03-11 21:53:27.320001,"Infosys, TCS, Wipro: IT stocks nosedive after slump in US tech stocks; NIFTY IT tanks 6%. Here is what happened overnight - Upstox",google_news,0.5319,positive,0.5319
TSLA,2023-03-13 21:47:07.382292,"Backed by OpenAI, Tesla, and SpaceX Investors, Midas Is Building Mathematical Infrastructure to Secure AI Systems",yahoo_finance,0.3612,positive,0.3612
AMZN,2023-03-17 21:49:06.688823,Company Insights: AMZN,yahoo_finance,0.0,neutral,0.0
TSLA,2023-04-02 21:47:07.388657,"Titleist Asset Management LLC Sells 1,239 Shares of Tesla, Inc. $TSLA - MarketBeat",google_news,0.5719,positive,0.5719
GOOGL,2023-04-03 21:46:03.687467,Stock Futures Rise as Market Digests Google AI Spending Surge - Barron's,google_news,0.0,neutral,0.0
MSFT,2023-04-13 21:50:56.689861,Amazon Cloud Sales in Focus After Microsoft’s $500 Billion Rout,yahoo_finance,0.1779,positive,0.1779
MSFT,2023-04-13 21:50:56.692870,"Microsoft: At $430/Share, It’s Time To Be Greedy (Rating Upgrade) (NASDAQ:MSFT) - Seeking Alpha",google_news,-0.3182,negative,0.3182
AMZN,2023-04-16 21:49:06.688717,Analyst Insights: AMZN,yahoo_finance,0.0,neutral,0.0
AAPL,2023-04-22 21:45:39.075417,ChatGPT Thinks Apple Stock Will Close At This Price In The Next 60 Days - Yahoo Finance,google_news,0.0,neutral,0.0
CSEALL,2023-04-25 21:54:32.035830,“US Authorities to Launch Investigation Into Pre-2019 Colombo Stock Exchange Transactions” - LankaeNews,google_news,0.0,neutral,0.0
MSFT,2023-05-01 21:50:56.688787,Best money market accounts,yahoo_finance,0.6369,positive,0.6369
AAPL,2023-05-03 21:45:39.076290,Apple Inc. $AAPL Shares Purchased by S Bank Fund Management Ltd - MarketBeat,google_news,0.296,positive,0.296
INFY.NS,2023-05-04 21:53:27.318760,"Infosys, Wipro shares in focus as US-listed ADRs extend losses, down over 3%. What’s happening? - The Economic Times",google_news,0.0516,positive,0.0516
AMZN,2023-05-07 21:49:06.689476,"Tuesday was the third straight day when alpha came in the form of ""smaller"" technology stocks as well as a broad spectrum of mid- and small-cap issues.",yahoo_finance,0.4588,positive,0.4588
MSFT,2023-05-09 21:50:56.689715,"Microsoft downgraded, Snap upgraded: Wall Street's top analyst calls",yahoo_finance,0.2023,positive,0.2023
CSEALL,2023-05-10 21:54:32.037250,CSE cancels all equity trading conducted before today’s market halt - Ada Derana,google_news,-0.2263,negative,0.2263
MSFT,2023-05-17 21:50:56.689274,AMD stock plummets despite Q4 earnings beat,yahoo_finance,0.0,neutral,0.0
TSLA,2023-06-11 21:47:07.384214,"Cathie Wood Pours Millions Into AMD, Tesla on Dip Buying Spree",yahoo_finance,0.0,neutral,0.0
AMZN,2023-06-11 21:49:06.684641,Market Domination Overtime,yahoo_finance,-0.0516,negative,0.0516
AAPL,2023-06-14 21:45:39.069484,Market Domination Overtime,yahoo_finance,-0.0516,negative,0.0516
CSEALL,2023-06-16 21:54:32.036369,Sri Lanka stock market trading halted on Wealth Trust error trade - EconomyNext,google_news,0.5859,positive,0.5859
GOOGL,2023-06-25 21:46:03.685715,"Stock market today: S&P 500, Nasdaq poised to add to tech sell-off as Google sinks, Amazon looms, silver tanks - Yahoo Finance UK",google_news,0.2732,positive,0.2732
TSLA,2023-07-03 21:47:07.381142,"More about Tesla, Inc.",yahoo_finance,0.0,neutral,0.0
CSEALL,2023-07-05 21:54:32.037159,"Unrealistic Orders, Unusual Prices: Why the Colombo Bourse Pulled the Plug Today - Newsfirst.",google_news,0.0,neutral,0.0
CSEALL,2023-07-08 21:54:32.035973,Phoenix rising: How Colombo Stock Exchange symbolises nation’s remarkable resurrection - Daily FT,google_news,0.5574,positive,0.5574
GOOGL,2023-07-09 21:46:03.683996,Argus Quick Note: Weekly Stock List for 01/05/2026: Argus' Most-Followed Stocks in 2025,yahoo_finance,0.0,neutral,0.0
GOOGL,2023-07-15 21:46:03.683447,Performance Overview: GOOGL,yahoo_finance,0.0,neutral,0.0
MSFT,2023-07-26 21:50:56.691093,Company Insights: MSFT,yahoo_finance,0.0,neutral,0.0
GOOGL,2023-07-27 21:46:03.687402,Alphabet ramping up CapEx is proof of the demand for AI - Yahoo Finance,google_news,-0.128,negative,0.128
CSEALL,2023-08-08 21:54:32.036166,"Sri Lankan shares end lower as financial, industrial stocks drag - Business Recorder",google_news,-0.2263,negative,0.2263
AAPL,2023-08-22 21:45:39.069065,Best money market accounts,yahoo_finance,0.6369,positive,0.6369
TSLA,2023-08-23 21:47:07.386106,Dow Jones Futures Rise As Santa Joins Rally In 2026; Big Tesla News Due - Investor's Business Daily,google_news,0.0,neutral,0.0
GOOGL,2023-08-24 21:46:03.678914,Prediction markets   NEW,yahoo_finance,0.0,neutral,0.0
TSLA,2023-08-24 21:47:07.380907,TSLA: Risk or rebound?,yahoo_finance,-0.2732,negative,0.2732
MSFT,2023-08-28 21:50:56.693658,Goldman Sachs revamps Microsoft stock price target before earnings - thestreet.com,google_news,0.0,neutral,0.0
MSFT,2023-09-03 21:50:56.690347,"Investment Manager Sheds $5.2 Million Worth of JD Shares, According to Latest Filing",yahoo_finance,0.4767,positive,0.4767
AAPL,2023-09-08 21:45:39.073947,"If You'd Invested $1,000 in Apple 5 Years Ago, Here's How Much You'd Have Today - The Motley Fool",google_news,-0.4404,negative,0.4404
GOOGL,2023-09-12 21:46:03.686401,"Alphabet: Solid Results, Stock Down. Another Gift From The Market (NASDAQ:GOOGL) - Seeking Alpha",google_news,0.5423,positive,0.5423
AAPL,2023-09-14 21:45:39.071574,Apple-Google partnership should 'de-risk' AI for iPhone maker,yahoo_finance,0.0,neutral,0.0
TSLA,2023-09-14 21:47:07.387773,"Tesla Stock Falls As The Market Mulls Tesla's Shift To 'Transportation-As-A-Service,' Massive Capital Spending - Investor's Business Daily",google_news,0.0,neutral,0.0
TSLA,2023-09-14 21:47:07.388725,"ABN AMRO Bank N.V. Invests $5.60 Million in Tesla, Inc. $TSLA - MarketBeat",google_news,0.0,neutral,0.0
MSFT,2023-09-14 21:50:56.688947,More about Microsoft Corporation,yahoo_finance,0.0,neutral,0.0
